iter	Passed	Remaining
400	20912	31237
401	20960	31180
402	21009	31123
403	21058	31066
404	21107	31009
405	21157	30954
406	21207	30899
407	21262	30851
408	21324	30813
409	21383	30771
410	21441	30727
411	21492	30673
412	21541	30616
413	21589	30558
414	21638	30502
415	21687	30445
416	21735	30387
417	21783	30330
418	21834	30276
419	21885	30222
420	21943	30178
421	22001	30134
422	22056	30085
423	22113	30041
424	22169	29994
425	22224	29945
426	22281	29900
427	22336	29850
428	22388	29798
429	22438	29744
430	22489	29689
431	22537	29633
432	22587	29577
433	22640	29526
434	22692	29474
435	22743	29420
436	22792	29364
437	22841	29308
438	22889	29250
439	22940	29196
440	22988	29139
441	23036	29082
442	23084	29025
443	23133	28968
444	23182	28912
445	23231	28856
446	23279	28800
447	23328	28743
448	23376	28687
449	23425	28631
450	23478	28579
451	23526	28523
452	23576	28468
453	23625	28413
454	23674	28356
455	23722	28300
456	23771	28244
457	23820	28189
458	23869	28134
459	23920	28080
460	23969	28025
461	24018	27969
462	24066	27912
463	24114	27856
464	24163	27800
465	24211	27744
466	24259	27688
467	24309	27634
468	24358	27578
469	24407	27523
470	24456	27468
471	24505	27412
472	24553	27357
473	24601	27300
474	24649	27244
475	24697	27188
476	24746	27132
477	24794	27077
478	24842	27021
479	24891	26966
480	24939	26909
481	24987	26853
482	25036	26798
483	25084	26743
484	25132	26687
485	25181	26632
486	25229	26576
487	25278	26521
488	25327	26467
489	25376	26412
490	25425	26357
491	25473	26302
492	25522	26247
493	25571	26193
494	25620	26138
495	25668	26082
496	25716	26027
497	25766	25973
498	25815	25919
499	25865	25865
500	25914	25810
501	25962	25755
502	26011	25701
503	26060	25646
504	26108	25591
505	26156	25536
506	26204	25481
507	26253	25426
508	26303	25373
509	26352	25319
510	26401	25264
511	26450	25210
512	26498	25155
513	26548	25102
514	26596	25047
515	26644	24992
516	26692	24937
517	26741	24882
518	26792	24830
519	26843	24778
520	26892	24724
521	26940	24669
522	26989	24615
523	27038	24561
524	27088	24508
525	27143	24460
526	27200	24413
527	27259	24368
528	27321	24326
529	27385	24285
530	27441	24237
531	27498	24190
532	27552	24140
533	27603	24088
534	27654	24035
535	27707	23985
536	27757	23932
537	27805	23877
538	27853	23822
539	27901	23767
540	27949	23713
541	27998	23659
542	28050	23607
543	28099	23554
544	28148	23499
545	28204	23451
546	28252	23397
547	28300	23342
548	28350	23289
549	28399	23235
550	28447	23181
551	28495	23126
552	28545	23073
553	28593	23019
554	28641	22964
555	28690	22911
556	28738	22856
557	28787	22802
558	28834	22748
559	28883	22694
560	28932	22640
561	28979	22585
562	29028	22531
563	29085	22484
564	29134	22430
565	29182	22376
566	29230	22322
567	29279	22268
568	29327	22214
569	29376	22161
570	29425	22107
571	29473	22053
572	29521	21999
573	29570	21946
574	29619	21892
575	29668	21839
576	29717	21785
577	29765	21732
578	29813	21678
579	29861	21624
580	29910	21570
581	29959	21517
582	30008	21463
583	30057	21410
584	30105	21357
585	30155	21304
586	30204	21250
587	30253	21198
588	30303	21145
589	30354	21094
590	30403	21040
591	30451	20986
592	30500	20933
593	30549	20880
594	30597	20826
595	30645	20773
596	30694	20720
597	30743	20667
598	30791	20613
599	30840	20560
600	30889	20507
601	30940	20455
602	30990	20403
603	31040	20350
604	31088	20297
605	31136	20244
606	31185	20190
607	31234	20137
608	31283	20084
609	31331	20031
610	31400	19991
611	31455	19942
612	31505	19890
613	31554	19837
614	31603	19784
615	31652	19731
616	31701	19678
617	31750	19625
618	31798	19572
619	31847	19519
620	31897	19466
621	31947	19415
622	31995	19361
623	32044	19308
624	32092	19255
625	32141	19202
626	32190	19149
627	32238	19096
628	32286	19043
629	32335	18990
630	32384	18937
631	32433	18885
632	32481	18832
633	32531	18780
634	32581	18728
635	32631	18675
636	32679	18622
637	32728	18569
638	32777	18517
639	32830	18467
640	32881	18415
641	32935	18365
642	32988	18315
643	33041	18265
644	33094	18214
645	33149	18165
646	33205	18116
647	33261	18068
648	33326	18023
649	33397	17983
650	33458	17936
651	33519	17890
652	33580	17844
653	33631	17793
654	33680	17739
655	33728	17686
656	33778	17634
657	33826	17581
658	33875	17528
659	33924	17476
660	33971	17422
661	34020	17369
662	34069	17317
663	34118	17264
664	34167	17212
665	34217	17160
666	34268	17108
667	34326	17060
668	34387	17014
669	34443	16964
670	34500	16915
671	34557	16867
672	34607	16815
673	34658	16763
674	34705	16710
675	34754	16657
676	34801	16604
677	34850	16551
678	34899	16499
679	34948	16446
680	34996	16393
681	35046	16341
682	35096	16289
683	35147	16237
684	35198	16186
685	35248	16134
686	35304	16084
687	35363	16036
688	35419	15987
689	35473	15937
690	35528	15887
691	35576	15834
692	35625	15782
693	35672	15728
694	35721	15676
695	35769	15623
696	35818	15570
697	35867	15518
698	35916	15466
699	35968	15415
700	36027	15366
701	36075	15314
702	36123	15261
703	36172	15208
704	36221	15156
705	36269	15103
706	36317	15051
707	36366	14998
708	36415	14946
709	36464	14893
710	36513	14841
711	36561	14789
712	36609	14736
713	36657	14683
714	36706	14631
715	36755	14578
716	36803	14526
717	36852	14473
718	36901	14421
719	36949	14369
720	36999	14317
721	37048	14265
722	37099	14213
723	37152	14163
724	37203	14111
725	37254	14060
726	37305	14008
727	37358	13958
728	37408	13906
729	37457	13854
730	37507	13802
731	37558	13750
732	37610	13699
733	37658	13647
734	37709	13595
735	37758	13543
736	37810	13492
737	37861	13441
738	37913	13390
739	37963	13338
740	38011	13286
741	38063	13235
742	38113	13183
743	38163	13131
744	38212	13079
745	38261	13027
746	38310	12975
747	38358	12923
748	38408	12871
749	38457	12819
750	38505	12766
751	38554	12714
752	38603	12662
753	38651	12610
754	38713	12562
755	38795	12521
756	38843	12468
757	38893	12417
758	38941	12364
759	38991	12313
760	39040	12261
761	39093	12210
762	39141	12157
763	39190	12106
764	39240	12054
765	39294	12003
766	39343	11951
767	39393	11900
768	39443	11848
769	39492	11796
770	39540	11744
771	39589	11692
772	39637	11640
773	39686	11587
774	39735	11536
775	39785	11484
776	39833	11432
777	39882	11380
778	39931	11328
779	39980	11276
780	40028	11224
781	40076	11172
782	40126	11120
783	40174	11068
784	40223	11016
785	40271	10964
786	40320	10912
787	40369	10860
788	40418	10809
789	40467	10757
790	40516	10705
791	40564	10653
792	40613	10601
793	40661	10549
794	40710	10497
795	40759	10445
796	40807	10393
797	40856	10342
798	40904	10290
799	40952	10238
800	41001	10186
801	41049	10134
802	41098	10082
803	41148	10031
804	41196	9979
805	41246	9927
806	41295	9876
807	41344	9824
808	41392	9772
809	41441	9720
810	41490	9669
811	41538	9617
812	41587	9565
813	41636	9513
814	41686	9462
815	41736	9411
816	41785	9359
817	41836	9308
818	41885	9256
819	41934	9205
820	41983	9153
821	42031	9101
822	42079	9049
823	42128	8998
824	42177	8946
825	42226	8895
826	42275	8843
827	42324	8792
828	42373	8740
829	42422	8688
830	42471	8637
831	42521	8586
832	42570	8534
833	42619	8482
834	42669	8431
835	42718	8380
836	42768	8328
837	42817	8277
838	42866	8225
839	42914	8174
840	42965	8123
841	43013	8071
842	43062	8019
843	43110	7968
844	43160	7917
845	43209	7865
846	43257	7813
847	43306	7762
848	43357	7711
849	43408	7660
850	43457	7608
851	43508	7557
852	43557	7506
853	43606	7455
854	43655	7403
855	43703	7352
856	43751	7300
857	43799	7248
858	43848	7197
859	43896	7145
860	43946	7094
861	43997	7043
862	44047	6992
863	44097	6941
864	44147	6890
865	44195	6838
866	44244	6787
867	44292	6735
868	44340	6684
869	44389	6632
870	44437	6581
871	44488	6530
872	44536	6478
873	44584	6427
874	44633	6376
875	44683	6325
876	44731	6273
877	44780	6222
878	44829	6171
879	44877	6119
880	44926	6068
881	44975	6017
882	45023	5965
883	45072	5914
884	45122	5863
885	45170	5812
886	45219	5760
887	45267	5709
888	45316	5658
889	45366	5607
890	45417	5556
891	45466	5504
892	45514	5453
893	45562	5402
894	45612	5351
895	45661	5299
896	45709	5248
897	45757	5197
898	45805	5146
899	45853	5094
900	45901	5043
901	45950	4992
902	45999	4941
903	46047	4890
904	46095	4838
905	46144	4787
906	46192	4736
907	46243	4685
908	46292	4634
909	46342	4583
910	46391	4532
911	46440	4481
912	46489	4429
913	46537	4378
914	46586	4327
915	46634	4276
916	46683	4225
917	46732	4174
918	46781	4123
919	46831	4072
920	46880	4021
921	46930	3970
922	46978	3919
923	47027	3868
924	47076	3816
925	47126	3766
926	47175	3715
927	47224	3663
928	47272	3612
929	47321	3561
930	47369	3510
931	47418	3459
932	47467	3408
933	47517	3357
934	47567	3306
935	47619	3256
936	47668	3205
937	47716	3153
938	47765	3102
939	47814	3051
940	47863	3001
941	47912	2950
942	47960	2899
943	48008	2847
944	48057	2796
945	48106	2746
946	48155	2695
947	48204	2644
948	48253	2593
949	48303	2542
950	48353	2491
951	48404	2440
952	48454	2389
953	48505	2338
954	48555	2287
955	48607	2237
956	48658	2186
957	48707	2135
958	48756	2084
959	48804	2033
960	48853	1982
961	48901	1931
962	48950	1880
963	48999	1829
964	49047	1778
965	49095	1728
966	49144	1677
967	49192	1626
968	49241	1575
969	49289	1524
970	49338	1473
971	49386	1422
972	49435	1371
973	49491	1321
974	49539	1270
975	49588	1219
976	49637	1168
977	49685	1117
978	49734	1066
979	49782	1015
980	49831	965
981	49879	914
982	49928	863
983	49976	812
984	50025	761
985	50074	710
986	50123	660
987	50170	609
988	50219	558
989	50270	507
990	50319	456
991	50368	406
992	50416	355
993	50464	304
994	50513	253
995	50562	203
996	50611	152
997	50659	101
998	50709	50
999	50758	0
