iter	RMSE
0	21.85288272
1	21.44175964
2	21.12195191
3	20.79375908
4	20.47275123
5	20.14634166
6	19.82717429
7	19.56507071
8	19.31134937
9	19.06021256
10	18.85699342
11	18.62377864
12	18.438353
13	18.25121117
14	18.04439635
15	17.87899496
16	17.7142797
17	17.52765603
18	17.37360861
19	17.2549521
20	17.11348455
21	16.98031647
22	16.86851704
23	16.75385819
24	16.64187399
25	16.52781494
26	16.4377895
27	16.32481648
28	16.21196772
29	16.08861065
30	15.98470042
31	15.87988605
32	15.79438945
33	15.69290244
34	15.61327058
35	15.52576214
36	15.44173977
37	15.37830755
38	15.31604668
39	15.23862549
40	15.1909517
41	15.11767829
42	15.05659629
43	14.98242016
44	14.91586471
45	14.8357871
46	14.75471709
47	14.69931839
48	14.65603875
49	14.6042706
50	14.55244035
51	14.4914092
52	14.43876342
53	14.39451507
54	14.34202615
55	14.29977721
56	14.24302644
57	14.18285939
58	14.13620433
59	14.07903279
60	14.03096948
61	13.99630914
62	13.94145466
63	13.89645202
64	13.8534345
65	13.81770873
66	13.77258004
67	13.73476951
68	13.7076325
69	13.65867656
70	13.62218428
71	13.58765255
72	13.55433929
73	13.51654338
74	13.47838867
75	13.44962862
76	13.40668543
77	13.36220034
78	13.33261068
79	13.28826345
80	13.25638122
81	13.21662675
82	13.18406759
83	13.15944697
84	13.12926653
85	13.1025814
86	13.06671265
87	13.03242491
88	13.00752883
89	12.96767313
90	12.94293439
91	12.91809316
92	12.89120024
93	12.86345685
94	12.84230226
95	12.82099124
96	12.79878044
97	12.77448374
98	12.74844968
99	12.72837008
100	12.71526977
101	12.69175658
102	12.67095694
103	12.65019997
104	12.629023
105	12.61726746
106	12.59889204
107	12.57792274
108	12.5606968
109	12.53312662
110	12.51189626
111	12.48389026
112	12.46784074
113	12.44581593
114	12.4170635
115	12.38979007
116	12.36971566
117	12.34626257
118	12.32633063
119	12.31013862
120	12.2907817
121	12.27309505
122	12.25428071
123	12.23035175
124	12.21888014
125	12.19163468
126	12.18184098
127	12.16222297
128	12.14576206
129	12.12818113
130	12.10953337
131	12.09126055
132	12.07557646
133	12.06308514
134	12.05122465
135	12.03362111
136	12.01625804
137	11.99980067
138	11.98779807
139	11.9709228
140	11.95608934
141	11.94104838
142	11.93019335
143	11.91778787
144	11.90463629
145	11.88793133
146	11.87387157
147	11.86177869
148	11.84839438
149	11.83433321
150	11.82098006
151	11.80338006
152	11.78383404
153	11.77071839
154	11.75823462
155	11.74390379
156	11.72893438
157	11.71181091
158	11.69782585
159	11.68661456
160	11.67184546
161	11.65505396
162	11.63857727
163	11.62475655
164	11.60320583
165	11.58833555
166	11.5738514
167	11.56038707
168	11.54440683
169	11.53095482
170	11.51827241
171	11.50650829
172	11.49370146
173	11.47932751
174	11.4649986
175	11.44829549
176	11.43088231
177	11.41878089
178	11.39997873
179	11.38631259
180	11.36985563
181	11.35239041
182	11.34111182
183	11.33007903
184	11.32078269
185	11.31030095
186	11.29607565
187	11.28423099
188	11.27207612
189	11.25868583
190	11.24833628
191	11.23246414
192	11.21948812
193	11.21000911
194	11.19636494
195	11.1811338
196	11.16666507
197	11.15088297
198	11.14104439
199	11.12978004
200	11.11833048
201	11.10283328
202	11.08507653
203	11.0734295
204	11.06040561
205	11.04630939
206	11.02943055
207	11.01796786
208	11.00851753
209	10.99792915
210	10.98427196
211	10.96711467
212	10.95262804
213	10.9416506
214	10.93241495
215	10.92148787
216	10.91185571
217	10.90199557
218	10.89001231
219	10.8815942
220	10.8707681
221	10.86169178
222	10.84997856
223	10.83794767
224	10.83144656
225	10.82533785
226	10.81249988
227	10.79871063
228	10.7897053
229	10.77852133
230	10.77209327
231	10.76249904
232	10.75164912
233	10.74063217
234	10.73298663
235	10.72702174
236	10.71441295
237	10.70552858
238	10.69281017
239	10.68899924
240	10.6804417
241	10.67177568
242	10.66482922
243	10.65515271
244	10.65164317
245	10.6426163
246	10.63155908
247	10.62076377
248	10.60799151
249	10.59841593
250	10.58652473
251	10.5761526
252	10.56965198
253	10.55712794
254	10.54965954
255	10.53977077
256	10.53196162
257	10.52540466
258	10.51589895
259	10.51101174
260	10.50054841
261	10.49620286
262	10.48840652
263	10.47913744
264	10.46996487
265	10.46367542
266	10.45517513
267	10.44999584
268	10.44312297
269	10.43450703
270	10.42650397
271	10.41777175
272	10.40550463
273	10.39270344
274	10.38301034
275	10.37366064
276	10.36977977
277	10.366472
278	10.35576814
279	10.34498927
280	10.33623309
281	10.33015033
282	10.32477121
283	10.31408037
284	10.30492295
285	10.29896834
286	10.29114601
287	10.28819901
288	10.27982251
289	10.27157542
290	10.26496625
291	10.25736637
292	10.25253846
293	10.24799101
294	10.23777429
295	10.22807817
296	10.2211771
297	10.21332942
298	10.20187701
299	10.19885813
300	10.19118191
301	10.18401429
302	10.18098195
303	10.17383638
304	10.16523254
305	10.15612874
306	10.15163409
307	10.13961294
308	10.1334651
309	10.12605308
310	10.11792311
311	10.11400413
312	10.10671172
313	10.09849456
314	10.09085851
315	10.08345296
316	10.07927314
317	10.07108812
318	10.06704514
319	10.05940684
320	10.05177791
321	10.0472897
322	10.03938373
323	10.03045961
324	10.02215869
325	10.0104526
326	10.00495759
327	9.994415249
328	9.989828318
329	9.981742545
330	9.976700556
331	9.969505697
332	9.960121356
333	9.954125282
334	9.945151336
335	9.937232828
336	9.931015945
337	9.924446475
338	9.918794246
339	9.908153835
340	9.900801252
341	9.892097339
342	9.886853227
343	9.875576045
344	9.871077239
345	9.866069026
346	9.858758781
347	9.85314261
348	9.846797838
349	9.841523802
350	9.834727239
351	9.831239869
352	9.825405979
353	9.819239708
354	9.815231515
355	9.808178031
356	9.802276697
357	9.798750833
358	9.791893109
359	9.785260651
360	9.776024141
361	9.767487194
362	9.76490071
363	9.757139213
364	9.748623466
365	9.744407679
366	9.738777521
367	9.734200691
368	9.728981227
369	9.72501972
370	9.718377862
371	9.708908745
372	9.705734173
373	9.701870721
374	9.697139152
375	9.690511002
376	9.685140463
377	9.681963062
378	9.675044046
379	9.6687722
380	9.660027792
381	9.650534961
382	9.646634528
383	9.644341211
384	9.638772889
385	9.636304609
386	9.631370875
387	9.624282686
388	9.622234754
389	9.618111032
390	9.613244469
391	9.605964194
392	9.601676038
393	9.593241492
394	9.58689229
395	9.583400652
396	9.576475118
397	9.569698923
398	9.565007252
399	9.559423403
400	9.553340882
401	9.547197237
402	9.539879196
403	9.535333101
404	9.529815427
405	9.522890025
406	9.519299166
407	9.515096846
408	9.50999248
409	9.502609197
410	9.498657329
411	9.492767929
412	9.487430584
413	9.482837396
414	9.478985918
415	9.475375691
416	9.471449337
417	9.465011299
418	9.458810394
419	9.450584984
420	9.446025853
421	9.441039543
422	9.437762247
423	9.431094202
424	9.427847336
425	9.42485737
426	9.418459271
427	9.412609061
428	9.408260702
429	9.405108085
430	9.400068248
431	9.39138957
432	9.38906839
433	9.384050565
434	9.377005583
435	9.37130035
436	9.368873187
437	9.366517215
438	9.361912506
439	9.355956107
440	9.348646791
441	9.344036239
442	9.341041553
443	9.334594474
444	9.325638025
445	9.321401052
446	9.316603407
447	9.310855689
448	9.303749168
449	9.29939658
450	9.296606515
451	9.293077289
452	9.285412357
453	9.280081107
454	9.275227425
455	9.271207859
456	9.26383281
457	9.256824853
458	9.252708999
459	9.247773251
460	9.243220795
461	9.236881452
462	9.233613841
463	9.229558409
464	9.222446238
465	9.219439697
466	9.213757882
467	9.209801254
468	9.205387896
469	9.199045187
470	9.195643957
471	9.188701659
472	9.185382152
473	9.178608466
474	9.175189016
475	9.168814729
476	9.166432723
477	9.159471602
478	9.154571222
479	9.146219035
480	9.1390366
481	9.132097414
482	9.126494401
483	9.1198732
484	9.115553225
485	9.111849113
486	9.108792235
487	9.100529573
488	9.095114162
489	9.09021897
490	9.086241868
491	9.082651324
492	9.076276475
493	9.072607214
494	9.067583106
495	9.062565578
496	9.056368058
497	9.048748775
498	9.046880984
499	9.044886521
500	9.042018368
501	9.038120303
502	9.030365444
503	9.028137297
504	9.022254776
505	9.017047504
506	9.01453772
507	9.011366191
508	9.00648321
509	9.000869026
510	8.998307275
511	8.993466567
512	8.990693798
513	8.986263445
514	8.979881268
515	8.977012012
516	8.973091581
517	8.968329387
518	8.960366725
519	8.956185127
520	8.954302073
521	8.948861886
522	8.944732063
523	8.938739625
524	8.933594775
525	8.927469266
526	8.922536415
527	8.918848589
528	8.916299119
529	8.911410201
530	8.905536752
531	8.900745447
532	8.898078369
533	8.89250344
534	8.886065534
535	8.883836913
536	8.881037622
537	8.876716357
538	8.871909666
539	8.864129887
540	8.859703828
541	8.856748681
542	8.85177186
543	8.845968907
544	8.841052945
545	8.839194094
546	8.834419331
547	8.829391516
548	8.823049967
549	8.8187939
550	8.812793004
551	8.806549487
552	8.803137282
553	8.795023114
554	8.792789296
555	8.788308863
556	8.784597918
557	8.779668266
558	8.777380916
559	8.774990996
560	8.769678374
561	8.765530528
562	8.76116359
563	8.758031394
564	8.754917957
565	8.752656335
566	8.749426692
567	8.74544441
568	8.743914688
569	8.742384694
570	8.737918645
571	8.732045052
572	8.725839129
573	8.72223465
574	8.720916748
575	8.717584241
576	8.709843664
577	8.70382125
578	8.699406451
579	8.698092289
580	8.694175511
581	8.687249466
582	8.682670849
583	8.679439982
584	8.673915831
585	8.669336394
586	8.666832362
587	8.663059075
588	8.660376987
589	8.659073975
590	8.655405946
591	8.652848798
592	8.648257162
593	8.644540972
594	8.643028796
595	8.637762087
596	8.634333533
597	8.627241561
598	8.622174914
599	8.619298137
600	8.61594449
601	8.612147224
602	8.607814681
603	8.605231885
604	8.59861289
605	8.596098185
606	8.592475544
607	8.587918032
608	8.584647758
609	8.580501858
610	8.578666968
611	8.575340331
612	8.570196865
613	8.56563467
614	8.562520897
615	8.557584049
616	8.554642714
617	8.550380442
618	8.545195435
619	8.539866153
620	8.537287951
621	8.532513497
622	8.52732784
623	8.524523756
624	8.522931705
625	8.515909088
626	8.512058613
627	8.509277445
628	8.505734678
629	8.500898415
630	8.497821795
631	8.490340894
632	8.488147244
633	8.486291523
634	8.480224176
635	8.478653523
636	8.476666233
637	8.473652755
638	8.471015426
639	8.467969015
640	8.466288165
641	8.462778987
642	8.459334837
643	8.455040012
644	8.449883556
645	8.443312491
646	8.438904376
647	8.435555202
648	8.430863785
649	8.426004349
650	8.420752963
651	8.415335085
652	8.413047915
653	8.408234182
654	8.404835617
655	8.399864095
656	8.393859847
657	8.391964484
658	8.389039051
659	8.385009549
660	8.379820127
661	8.3783926
662	8.373780003
663	8.367679044
664	8.363479295
665	8.359559874
666	8.354421742
667	8.34946495
668	8.343799515
669	8.341618337
670	8.338288338
671	8.335916108
672	8.333536015
673	8.330639331
674	8.325959105
675	8.321871441
676	8.317243512
677	8.314978301
678	8.313271253
679	8.309381824
680	8.306537865
681	8.30223146
682	8.298691263
683	8.294946153
684	8.291083337
685	8.287776431
686	8.282971859
687	8.279213516
688	8.275109433
689	8.27227942
690	8.268725602
691	8.264829579
692	8.260741789
693	8.25769464
694	8.254384301
695	8.250662081
696	8.247249692
697	8.244978354
698	8.239621204
699	8.23490953
700	8.232148537
701	8.2275611
702	8.221199417
703	8.218989841
704	8.213908648
705	8.210793807
706	8.208049946
707	8.2065866
708	8.201607206
709	8.198608625
710	8.193434448
711	8.190621162
712	8.187518417
713	8.185578339
714	8.180958519
715	8.177991266
716	8.17230817
717	8.166880117
718	8.162361781
719	8.160002129
720	8.157571427
721	8.15297483
722	8.149484026
723	8.148146666
724	8.145178668
725	8.140132041
726	8.136876243
727	8.1324872
728	8.126268086
729	8.124100442
730	8.1193673
731	8.115902279
732	8.112060912
733	8.110206182
734	8.106645258
735	8.104726923
736	8.098307225
737	8.095993955
738	8.090373672
739	8.088307759
740	8.083684117
741	8.081713813
742	8.078179514
743	8.073683373
744	8.069714762
745	8.065166753
746	8.061975296
747	8.056335488
748	8.054102783
749	8.046956265
750	8.045286348
751	8.043102194
752	8.041245001
753	8.039987201
754	8.037713316
755	8.033405755
756	8.029842014
757	8.022790245
758	8.019088407
759	8.015647263
760	8.011026426
761	8.008136314
762	8.003797964
763	8.001366254
764	7.998095307
765	7.995310721
766	7.99197118
767	7.987329982
768	7.98466419
769	7.982284057
770	7.98164995
771	7.979522521
772	7.977439384
773	7.975426894
774	7.973831242
775	7.969453746
776	7.963872213
777	7.96171815
778	7.958635374
779	7.953771754
780	7.951103151
781	7.949094438
782	7.945101139
783	7.943047667
784	7.939418674
785	7.93541679
786	7.932529494
787	7.930335359
788	7.927656266
789	7.924347729
790	7.92048917
791	7.919008908
792	7.91799869
793	7.91561689
794	7.909914121
795	7.905096438
796	7.899103933
797	7.897289007
798	7.89265558
799	7.890745036
800	7.888197542
801	7.884748401
802	7.88294542
803	7.88039949
804	7.87847265
805	7.87436005
806	7.870530842
807	7.865418635
808	7.86397501
809	7.862802088
810	7.861645878
811	7.858479163
812	7.854392678
813	7.850317227
814	7.845402718
815	7.840663704
816	7.838396122
817	7.834540506
818	7.832919506
819	7.829136663
820	7.823966399
821	7.822687667
822	7.81825741
823	7.815688222
824	7.812598718
825	7.80827267
826	7.802719999
827	7.798876527
